,CAN,USA,year
0,83.1924410253646,95.5256695527392,1960
1,83.6548998145593,95.5667993020266,1961
2,84.333216189842,95.6055139735254,1962
3,85.3444185408212,95.7693155916265,1963
4,85.4201311056283,95.8016211194505,1964
5,86.2146622466963,95.8601615794837,1965
6,85.6656005878623,95.9644902619563,1966
7,85.797699429717,95.9821682441868,1967
8,85.7581426959485,95.9226132734279,1968
9,85.260793354493,95.8586746434697,1969
10,84.6622417265424,95.9187712540164,1970
11,84.1541542986894,95.6438071526866,1971
12,84.0243177777995,95.3667577934488,1972
13,82.7933487235959,94.9771886917797,1973
14,82.2055043488747,94.1564542460561,1974
15,84.0544383044523,93.0979531123041,1975
16,83.3043130985559,93.0056154760703,1976
17,82.5157958519027,92.4223027301356,1977
18,81.2272854645753,91.7438061244566,1978
19,81.4294161495702,91.8029261569988,1979
20,80.5639830127972,91.4260719583639,1980
21,79.5138438623392,90.8319465466873,1981
22,79.0665451074599,90.0431205042659,1982
23,77.0090614433204,89.4550670754244,1983
24,76.8489240654414,88.9010414433368,1984
25,75.4065927037209,88.3016686762272,1985
26,73.5640182851617,87.6566326584691,1986
27,73.7949075636436,87.37781446172,1987
28,74.0229513873681,87.0772387170186,1988
29,75.0519513937493,87.0932872393801,1989
30,73.6054915608937,86.4378383178815,1990
31,72.2903820215833,85.6947378489449,1991
32,73.4363630240629,85.5748223295601,1992
33,72.5776859158235,86.1179647916857,1993
34,71.6982666019181,85.9121290643525,1994
35,72.5201814385532,85.4693359772985,1995
36,73.2370849547728,85.5100613230784,1996
37,74.7361057993359,86.4564944223768,1997
38,75.8827561782628,86.0865943299391,1998
39,75.6377547258236,85.7846010464005,1999
40,76.1025718116541,85.8808305392289,2000
41,76.1549534400917,86.3459809106252,2001
42,75.1633668641508,86.2490843609645,2002
43,76.5470387654659,86.2783854149701,2003
44,75.1971356476301,86.1243128703203,2004
45,75.745137887563,86.018535392161,2005
46,74.5630719142971,85.626472526822,2006
47,74.7355837888856,85.614705182945,2007
48,75.0760026838519,84.968221692611,2008
49,75.0660005129962,84.1542537153329,2009
50,75.3853926921305,84.1505880660269,2010
51,74.6917469799152,83.714052768764,2011
52,74.4394791451663,83.4371776188128,2012
53,73.1735157237361,82.9405096870129,2013
54,73.1928743182183,83.0890424221381,2014
55,74.089062024806,82.4278282452692,2015
56,,,2016
57,,,2017
58,,,2018
59,,,2019
60,,,2020
61,,,2021
